codice_regionale,descrizione,prezzo_ticket_eur,regime,fonte
90.69.4,Immunoglobuline IgG,3.35,ticket_ssn,Wgeslaan
90.69.4,Immunoglobuline IgM,3.35,ticket_ssn,Wgeslaan
90.28.4,Immunoglobuline kappa e lambda sieriche,10.65,ticket_ssn,Wgeslaan
90.29.2,LDH,1.10,ticket_ssn,Wgeslaan
90.30.2,LIPASI,2.60,ticket_ssn,Wgeslaan
90.32.2,LITIO,9.90,ticket_ssn,Wgeslaan
90.325.S,MAGNESIO,1.65,ticket_ssn,Wgeslaan
90.325.D,MAGNESIO URINARIO (urine 24h),1.65,ticket_ssn,Wgeslaan
90.33.4,MICROALBUMINURIA,3.40,ticket_ssn,Wgeslaan
91.21.3,Monotest,13.10,ticket_ssn,Wgeslaan
90.36.6,NT-ProBNP,16.55,ticket_ssn,Wgeslaan
90.34.6,OMOCISTEINA,11.30,ticket_ssn,Wgeslaan
90.17.G,Ormone antimulleriano (AMH),28.00,ticket_ssn,Wgeslaan
90.35.5,PARATORMONE (PTH),8.80,ticket_ssn,Wgeslaan
—,POTASSIO,1.25,ticket_ssn,Wgeslaan
—,POTASSIO URINARIO (urine 24h),1.25,ticket_ssn,Wgeslaan
—,Prelievo venoso,3.80,ticket_ssn,Wgeslaan
—,PROGESTERONE,7.90,ticket_ssn,Wgeslaan
—,PROLATTINA,7.10,ticket_ssn,Wgeslaan
—,PROTEINA C REATTIVA (quantitativa),3.25,ticket_ssn,Wgeslaan
—,PROTEINE TOTALI,0.90,ticket_ssn,Wgeslaan
—,PROTEINURIA,0.90,ticket_ssn,Wgeslaan
—,PROTEINURIA NOTTURNA,0.90,ticket_ssn,Wgeslaan
—,PROTEINURIA DIURNA,0.90,ticket_ssn,Wgeslaan
—,PTT,2.50,ticket_ssn,Wgeslaan
—,REUMATEST,3.85,ticket_ssn,Wgeslaan
90.21.4,Ricerca sangue occulto nelle feci,3.45,ticket_ssn,Wgeslaan
91.26.E,RUBEO test-IgG,6.70,ticket_ssn,Wgeslaan
90.22.5,SIDEREMIA (ferro),1.15,ticket_ssn,Wgeslaan
90404.S,SODIO,0.85,ticket_ssn,Wgeslaan
90404.D,SODIO URINARIO (urine 24h),0.85,ticket_ssn,Wgeslaan
90.93.3,SPERMIOCOLTURA con eventuale ID e antibiogramma,21.95,ticket_ssn,Wgeslaan
90.93.3,TAMPONE AURICOLARE con eventuale ID e ABG,21.95,ticket_ssn,Wgeslaan
90.93.3,TAMPONE CONGIUNTIVALE con eventuale ID e ABG,21.95,ticket_ssn,Wgeslaan
90.93.5,TAMPONE FARINGEO con eventuale ID e antibiogramma,21.20,ticket_ssn,Wgeslaan
90.93.5,TAMPONE NASALE DX,21.20,ticket_ssn,Wgeslaan
90.93.5,TAMPONE NASALE SX,21.20,ticket_ssn,Wgeslaan
90.93.3,TAMPONE ULCERA CUTANEA con eventuale ID e ABC,21.95,ticket_ssn,Wgeslaan
90.93.5,TAMPONE VAGINALE (ricerca streptococco B),21.20,ticket_ssn,Wgeslaan
90.75.4,TEMPO DI PROTROMBINA,2.30,ticket_ssn,Wgeslaan
90.49.3,TEST DI COOMBS INDIRETTO,8.35,ticket_ssn,Wgeslaan
90.41.3,TESTOSTERONE,6.90,ticket_ssn,Wgeslaan
90.41.4,Testosterone libero,13.90,ticket_ssn,Wgeslaan
90.41.5,TIREOGLOBULINA (TG),13.35,ticket_ssn,Wgeslaan
91.08.5,TITOLO ANTISTREPTOLISINICO (TAS),4.90,ticket_ssn,Wgeslaan
91.10.4,TPHA (ricerca qualitativa),4.08,ticket_ssn,Wgeslaan
91.10.5,TPHA (ricerca quantitativa),5.78,ticket_ssn,Wgeslaan
90.53.5,TRAB - A.A. recettore del TSH,25.10,ticket_ssn,Wgeslaan
90.04.5,TRANSAMINASI ALT/GPT,1.00,ticket_ssn,Wgeslaan
90.09.2,TRANSAMINASI AST/GOT,1.05,ticket_ssn,Wgeslaan
90.42.5,TRANSFERRINA,3.20,ticket_ssn,Wgeslaan
90.525.A,TRANSGLUTAMINASI IgA,9.70,ticket_ssn,Wgeslaan
90.525.G,TRANSGLUTAMINASI IgG,9.70,ticket_ssn,Wgeslaan
90.43.2,TRIGLICERIDI,1.10,ticket_ssn,Wgeslaan
90.82.3,TROPONINA,8.15,ticket_ssn,Wgeslaan
90.42.1,TSH (tireotropina),4.75,ticket_ssn,Wgeslaan
90.41.8,TSH REFLEX,6.80,ticket_ssn,Wgeslaan
90435.S,URICEMIA,1.05,ticket_ssn,Wgeslaan
90435.D,URICURIA,1.05,ticket_ssn,Wgeslaan
90435.U,Uricuria (urine del mattino),1.05,ticket_ssn,Wgeslaan
90.94.2,URINOCOLTURA con eventuale ID e antibiogramma,16.40,ticket_ssn,Wgeslaan
90.82.5,V.E.S.,1.80,ticket_ssn,Wgeslaan
91.11.1,VDRL,3.36,ticket_ssn,Wgeslaan
91.21.3,Virus EBV anticorpi eterofili (test rapido),13.10,ticket_ssn,Wgeslaan
90.13.5,VITAMINA B12,6.90,ticket_ssn,Wgeslaan
90.44.6,Vitamina D totale (25-OH),11.15,ticket_ssn,Wgeslaan
90.25.5,GGT (YGT),1.15,ticket_ssn,Wgeslaan
