codice,mnemonico,descrizione,prezzo_eur,service,note,regime
461,E2,ESTRADIOLO (E2),14.00,,,privato
Etg,Etg,Etilglucuronide ( Urine),15.00,,,privato
305,FER,FERRITINA,15.00,,,privato
83,FIB,FIBRINOGENO,4.00,,,privato
32,FALC,FOSFATASI ALCALINA,2.50,,,privato
Fosfato,Fosfato,Fosfato Inorganico,2.50,,,privato
Fosfatou,Fosfatou,Fosfato Inorganico Urinario (SU URINE 24H),2.50,,,privato
116,PHOS,FOSFORO,2.50,,,privato
123,PHOU,FOSFORO URINARIO (SU URINE 24H),2.50,,,privato
Fosfpri,Fosafpri,FOSFORO URINARIO (URINE DEL MATTINO),2.50,,NON USARE,privato
1110,1110,FOX Test (Pannello 286 Intolleranze Alimentari),180.00,,,privato
10049,FSH,FSH,14.00,,,privato
287,FT3,FT3 (TRIIODOTIRONINA LIBERA),15.00,,,privato
289,FT4,FT4 (TIROXINA LIBERA),15.00,,,privato
2,GLI,GLICEMIA,2.50,,,privato
2P,2P,Glicemia Post Prandiale,2.50,,,privato
1229,GLIU,GLICOSURIA,2.50,,,privato
Hba2,Hba-2,Hb A2 Dosaggio,10.00,,,privato
Hbfet,Hbfeta,Hb Fetale Dosaggio,10.00,,,privato
475,HBCB,HBcAb Total,15.23,,,privato
473,HBCM,HBcAb-IgM,15.23,,,privato
477,HBEB,HBeAb,17.86,,,privato
476,HBEG,HBeAg,15.87,,,privato
474,HBSB,HBsAb,15.23,,,privato
67,HBSAG,HBsAg,11.24,,,privato
452,HCV,HCV,15.00,,,privato
Hcvscr,Hcvscr,HCV Screening,0.00,,,privato
306,HPFE,HELICOBACTER PYLORI NELLE FECI,10.00,,,privato
455,HIV,HIV-TEST Combo,16.00,,,privato
Homa,Homa,Homa Index ( Insulino Resistenza ),20.00,,,privato
86,IDB,Identificazione Batterica,12.40,,,privato
471,IGE,IGE TOTALI,12.71,,,privato
10342,IGA,IMMUNOGLOBULINE (IgA),6.00,,,privato
10343,IGG,IMMUNOGLOBULINE (IgG),6.00,,,privato
10345,IGM,IMMUNOGLOBULINE (IgM),6.00,,,privato
Kel,Kel,IMMUNOGLOBULINE KAPPA E LAMBDA SIERICHE,15.00,,,privato
Sat,Sat,Indice Di Saturazione Della Transferrina,20.00,,,privato
Roma,Roma,INDICE ROMA,45.00,,,privato
38,LDH,LDH,2.50,,,privato
10048,LH,LH,14.00,,,privato
43,LIP,LIPASI,3.00,,,privato
117,LIT,LITIO,10.00,,,privato
118,MAG,MAGNESIO,2.50,,,privato
124,MGU,MAGNESIO URINARIO (SU URINE 24H),2.52,,,privato
202,MALB,MICROALBUMINURIA,5.00,,,privato
68,Mono,Monotest,10.00,,,privato
Ntprobnp,Ntprobnp,NT-ProBNP,30.00,,,privato
41,NDBC,NUMERO DI DIBUCAINA,16.00,,,privato
Omoc,Omoc,OMOCISTEINA,20.00,,,privato
Amh,Amh,ORMONE ANTIMULLERIANO (AMH),36.00,,,privato
320,Pap.t,Pap Test /90,22.00,90,,privato
1005,PTH,PARATORMONE (PTH),25.00,,,privato
Pepc,Pepc,PEPTIDE-C,15.00,,,privato
113,K,POTASSIO,2.50,,,privato
120,KU,POTASSIO URINARIO (SU URINE 24H),2.50,,,privato
10353,PRELDOM,PRELIEVO DOMICILIARE,10.00,,,privato
460,PRG,PROGESTERONE (S),14.00,,,privato
457,PRL,PROLATTINA,14.00,,,privato
161,PCR,PROTEINA C REATTIVA (quantitativa),4.50,,,privato
10,PROT,PROTEINE TOTALI,2.50,,,privato
214,TPU,PROTEINURIA,5.00,,,privato
225,PTUN,PROTEINURIA NOTTURNA,5.00,,,privato
221,BENC,PROTEINURIA DI BENCE- JONES,15.00,,,privato
224,PTUD,PROTEINURIA DIURNA,5.00,,,privato
80,PEM,PROVE EMOGENICHE,10.00,,,privato
454,PSA,PSA (Antig. Prostatico Specifico),10.00,,,privato
484,PSAF,PSA-FREE,15.00,,,privato
82,PTT,PTT,3.00,,,privato
Ratioalbcr,Ratioalbcr,Ratio Albuminuria/Creatinuria,15.00,,,privato
162,RFT,REUMATEST,5.00,,,privato
198,SGFE,RICERCA SANGUE OCCULTO NELLE FECI,5.00,,,privato
149,RBG,RUBEO test-IgG,9.00,,,privato
150,RBM,RUBEO test-IgM,9.00,,,privato
194,SCOTCH,SCOTCH TEST,10.00,,,privato
Shbg,Shb,Shbg,30.00,,,privato
20,SID,SIDEREMIA (Ferro),2.50,,,privato
112,NA,SODIO,2.50,,,privato
119,NAU,SODIO URINARIO (Su Urine 24H),2.50,,,privato
Fertility,Fertitily,Spermiogramma (SQA-Vision),50.00,,,privato
12585,STRE,STREPTOCOCCUS PYOGENES nel tampone orofaringeo,10.00,,,privato
171,STZ,STREPTOZYME TEST,16.00,,,privato
12267,STRP,STRISCIO PERIFERICO,18.00,,,privato
10290,TEM,TEMPO DI EMORRAGIA,3.00,,,privato
131,ATP,TEMPO DI PROTROMBINA,4.00,,,privato
Alexint,Alexint,TEST ALLERGOLOGICO ALEX,250.00,,,privato
72,COOI,TEST DI COOMBS INDIRETTO,9.46,,,privato
245,TIG,TEST IMMUNOLOGICO DI GRAVIDANZA,10.00,,,privato
466,TEST,TESTOSTERONE,14.00,,,privato
Testfree,Testfree,Testosterone Libero,30.00,,,privato
1001,TG,TIREOGLOBULINA(TG),20.00,,,privato
158,TAS,TITOLO ANTISTREPTOLISINICO,5.00,,,privato
147,TOXG,TOXO test-IgG,9.00,,,privato
148,TOXM,TOXO test-IgM,9.00,,,privato
65,Tpha qual,Tpha ( Ricerca Qualitativa ),6.00,,,privato
64,TPHA,TPHA (Ricerca quantitativa),6.00,,,privato
Trabint,Trabint,TRAB - A. A. Recettore del TSH,30.00,,,privato
31,GPT,TRANSAMINASI (ALT/GPT),2.50,,,privato
