presente_su_spoki,citta,provincia,regione,indirizzo,libreria,appellativo_1,appellativo_2,appellativo_3,tag_libreria,messaggio_trigger,template_benvenuto
sì,Bari,BA,Puglia,CC Mongolfiera Santa Caterina,Bari CC Mongolfiera S.C.,Santa Caterina,,,768 - Bari CC Mongolfiera,Desidero contattare Feltrinelli Libreria Bari CC Mongolfiera Santa Caterina.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Bari CC Mongolfiera S.C., una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Afragola,NA,Campania,CC Le Porte di Napoli,Afragola CC Le Porte,Frattamaggiore,,,769 - Napoli Afragola CC Le Porte di Napoli,Desidero contattare Feltrinelli Libreria Afragola CC Le Porte di Napoli.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Afragola CC Le Porte, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Olbia,OL,Sardegna,Aeroporto Costa Smeralda,Olbia Aer. C. Smeralda,Olbia,,,770 - Olbia Aeroporto,Desidero contattare Feltrinelli Libreria Olbia Aer. Costa Smeralda.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Olbia Aer. C. Smeralda, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Sesto San Giovanni,MI,Lombardia,CC Centro Sarca,S. San Giovanni CC Sarca,Sesto,Sarca,,771 - Sesto S. Giovanni CC Sarca,Desidero contattare Feltrinelli Libreria Sesto S. Giovanni CC Centro Sarca.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria S. San Giovanni CC Sarca, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Parma,PR,Emilia Romagna,CC La Galleria,Parma CC La Galleria,Barilla Center,centro Barilla,,772 - Parma CC La Galleria,Desidero contattare Feltrinelli Libreria Parma CC La Galleria.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Parma CC La Galleria, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Melilli,SR,Sicilia,CC Belvedere,Melilli CC Belvedere,Siracusa,,,773 - Melilli CC Belvedere,Desidero contattare Feltrinelli Libreria Melilli CC Belvedere.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Melilli CC Belvedere, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Orio al Serio,BG,Lombardia,CC Oriocenter,Orio al S. CC Oriocenter,Via Portico 71,Orio,,774 - Orio CC Orio Center,Desidero contattare Feltrinelli Libreria Orio al Serio CC OrioCenter.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Orio al S. CC Oriocenter, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Milano,MI,Lombardia,CC Piazza Portello,Milano CC Portello,Iper,,,775 - Milano CC Iper Portello,Desidero contattare Feltrinelli Libreria Milano CC Piazza Portello.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Milano CC Portello, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Assago,MI,Lombardia,CC Milanofiori,Assago CC Milanofiori,,,,776 - Assago CC Milanofiori,Desidero contattare Feltrinelli Libreria Assago CC Milanofiori.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Assago CC Milanofiori, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Misterbianco,CT,Sicilia,CC Centro Sicilia,Misterbianco CC,,,,781 - Misterbianco CC Centro Sicilia,Desidero contattare Feltrinelli Libreria Misterbianco CC Centro Sicilia.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Misterbianco CC, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,La Spezia,SP,Liguria,CC Le Terrazze,La Spezia CC Le Terrazze,,,,782 - La Spezia CC Le Terrazze,Desidero contattare Feltrinelli Libreria La Spezia CC Le Terrazze.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria La Spezia CC Le Terrazze, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,Policlinico Gemelli,Roma Policlinico Gemelli,Gemelli,,,783 - Roma Policlinico Gemelli,Desidero contattare Feltrinelli Libreria Roma Policlinico Gemelli.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma Policlinico Gemelli, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,CC Porta di Roma,Roma CC Porta di Roma,Porta,,,784 - Roma CC Porta di Roma,Desidero contattare Feltrinelli Libreria Roma CC Porta di Roma.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma CC Porta di Roma, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,CC Euroma2,Roma CC Euroma2,,,,785 - Roma CC Euroma2,Desidero contattare Feltrinelli Libreria Roma CC Euroma2.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma CC Euroma2, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,CC CinecittàDue,Roma CC CinecittaDue,via Togliatti,,,786 - Roma CC Cinecittàdue,Desidero contattare Feltrinelli Libreria Roma CC CinecittàDue.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma CC CinecittaDue, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roma,RM,Lazio,CC Maximo,Roma CC Maximo,Laurentino,,,787 - Roma CC Maximo,Desidero contattare Feltrinelli Libreria Roma CC Maximo.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roma CC Maximo, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Roncadelle,BS,Lombardia,CC Rondinelle,Roncadelle CC Rondinelle,,,,788 - Roncadelle CC Rondinelle,Desidero contattare Feltrinelli Libreria Roncadelle CC Rondinelle.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Roncadelle CC Rondinelle, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
sì,Palermo,PA,Sicilia,CC Conca d'Oro,Palermo CC Conca d'Oro,,,,789 - Palermo CC Conca d'Oro,Desidero contattare Feltrinelli Libreria Palermo CC Conca d'Oro.,"Ciao, benvenuto nel servizio Whatsapp di Feltrinelli Libreria Palermo CC Conca d'Oro, una libraia o un libraio ti contatteranno il prima possibile.

Ti informiamo che i tuoi dati personali saranno utilizzati esclusivamente per la fornitura dei servizi da te richiesti tramite questa chat e per le finalità indicate nell'informativa privacy.

https://www.lafeltrinelli.it/about/informativa-privacy"
